0,1,2,3,4,5,6,7,8,9,10
"14,348.82","14,372.82","14,377.83","14,448.51","14,562.82","14,494.40","14,494.14","14,629.60","14,624.07","14,703.94","14,670.15"
"14,372.82","14,377.83","14,448.51","14,562.82","14,494.40","14,494.14","14,629.60","14,624.07","14,703.94","14,670.15","14,732.67"
"14,377.83","14,448.51","14,562.82","14,494.40","14,494.14","14,629.60","14,624.07","14,703.94","14,670.15","14,732.67","14,587.53"
"14,448.51","14,562.82","14,494.40","14,494.14","14,629.60","14,624.07","14,703.94","14,670.15","14,732.67","14,587.53","14,555.05"
"14,562.82","14,494.40","14,494.14","14,629.60","14,624.07","14,703.94","14,670.15","14,732.67","14,587.53","14,555.05","14,338.49"
"14,494.40","14,494.14","14,629.60","14,624.07","14,703.94","14,670.15","14,732.67","14,587.53","14,555.05","14,338.49","14,228.66"
"14,494.14","14,629.60","14,624.07","14,703.94","14,670.15","14,732.67","14,587.53","14,555.05","14,338.49","14,228.66","14,256.83"
"14,629.60","14,624.07","14,703.94","14,670.15","14,732.67","14,587.53","14,555.05","14,338.49","14,228.66","14,256.83","14,669.89"
"14,624.07","14,703.94","14,670.15","14,732.67","14,587.53","14,555.05","14,338.49","14,228.66","14,256.83","14,669.89","14,825.15"
"14,703.94","14,670.15","14,732.67","14,587.53","14,555.05","14,338.49","14,228.66","14,256.83","14,669.89","14,825.15","14,548.44"
"14,670.15","14,732.67","14,587.53","14,555.05","14,338.49","14,228.66","14,256.83","14,669.89","14,825.15","14,548.44","14,767.35"
"14,732.67","14,587.53","14,555.05","14,338.49","14,228.66","14,256.83","14,669.89","14,825.15","14,548.44","14,767.35","14,752.05"
"14,587.53","14,555.05","14,338.49","14,228.66","14,256.83","14,669.89","14,825.15","14,548.44","14,767.35","14,752.05","14,843.97"
"14,555.05","14,338.49","14,228.66","14,256.83","14,669.89","14,825.15","14,548.44","14,767.35","14,752.05","14,843.97","14,638.26"
"14,338.49","14,228.66","14,256.83","14,669.89","14,825.15","14,548.44","14,767.35","14,752.05","14,843.97","14,638.26","14,868.63"
"14,228.66","14,256.83","14,669.89","14,825.15","14,548.44","14,767.35","14,752.05","14,843.97","14,638.26","14,868.63","15,034.57"
"14,256.83","14,669.89","14,825.15","14,548.44","14,767.35","14,752.05","14,843.97","14,638.26","14,868.63","15,034.57","15,155.30"
"14,669.89","14,825.15","14,548.44","14,767.35","14,752.05","14,843.97","14,638.26","14,868.63","15,034.57","15,155.30","15,156.52"
"14,825.15","14,548.44","14,767.35","14,752.05","14,843.97","14,638.26","14,868.63","15,034.57","15,155.30","15,156.52","14,962.19"
"14,548.44","14,767.35","14,752.05","14,843.97","14,638.26","14,868.63","15,034.57","15,155.30","15,156.52","14,962.19","15,035.13"
"14,767.35","14,752.05","14,843.97","14,638.26","14,868.63","15,034.57","15,155.30","15,156.52","14,962.19","15,035.13","15,134.65"
"14,752.05","14,843.97","14,638.26","14,868.63","15,034.57","15,155.30","15,156.52","14,962.19","15,035.13","15,134.65","15,060.67"
"14,843.97","14,638.26","14,868.63","15,034.57","15,155.30","15,156.52","14,962.19","15,035.13","15,134.65","15,060.67","15,001.29"
"14,638.26","14,868.63","15,034.57","15,155.30","15,156.52","14,962.19","15,035.13","15,134.65","15,060.67","15,001.29","14,984.85"
"14,868.63","15,034.57","15,155.30","15,156.52","14,962.19","15,035.13","15,134.65","15,060.67","15,001.29","14,984.85","15,024.35"
"15,034.57","15,155.30","15,156.52","14,962.19","15,035.13","15,134.65","15,060.67","15,001.29","14,984.85","15,024.35","15,098.36"
"15,155.30","15,156.52","14,962.19","15,035.13","15,134.65","15,060.67","15,001.29","14,984.85","15,024.35","15,098.36","15,134.58"
"15,156.52","14,962.19","15,035.13","15,134.65","15,060.67","15,001.29","14,984.85","15,024.35","15,098.36","15,134.58","15,365.97"
"14,962.19","15,035.13","15,134.65","15,060.67","15,001.29","14,984.85","15,024.35","15,098.36","15,134.58","15,365.97","15,612.50"
"15,035.13","15,134.65","15,060.67","15,001.29","14,984.85","15,024.35","15,098.36","15,134.58","15,365.97","15,612.50","15,492.11"
"15,134.65","15,060.67","15,001.29","14,984.85","15,024.35","15,098.36","15,134.58","15,365.97","15,612.50","15,492.11","15,477.12"
"15,060.67","15,001.29","14,984.85","15,024.35","15,098.36","15,134.58","15,365.97","15,612.50","15,492.11","15,477.12","15,675.62"
"15,001.29","14,984.85","15,024.35","15,098.36","15,134.58","15,365.97","15,612.50","15,492.11","15,477.12","15,675.62","15,956.21"
"14,984.85","15,024.35","15,098.36","15,134.58","15,365.97","15,612.50","15,492.11","15,477.12","15,675.62","15,956.21","16,037.73"
"15,024.35","15,098.36","15,134.58","15,365.97","15,612.50","15,492.11","15,477.12","15,675.62","15,956.21","16,037.73","16,032.21"
"15,098.36","15,134.58","15,365.97","15,612.50","15,492.11","15,477.12","15,675.62","15,956.21","16,037.73","16,032.21","16,410.24"
"15,134.58","15,365.97","15,612.50","15,492.11","15,477.12","15,675.62","15,956.21","16,037.73","16,032.21","16,410.24","16,633.11"
